Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04593,0.01926,0.04593,0.01630,0.01926,0.05778,0.02222,0.04593,0.02667,0.04000,0.03259,0.05333,0.06963,0.03852,0.07407,0.07407,0.03407,0.03407
0.04593, 1.000,0.04000,0.06519,0.04741,0.02074,0.08889,0.05778,0.05778,0.05185,0.03556,0.04296,0.03556,0.06074,0.05926,0.08000,0.09037,0.04444,0.04000
0.01926,0.04000, 1.000,0.1230,0.03556,0.07852,0.01778,0.07111,0.03852,0.04593,0.04741,0.01185,0.03111,0.04148,0.03556,0.05333,0.05333,0.05333,0.08296
0.04593,0.06519,0.1230, 1.000,0.02370,0.04000,0.06222,0.06519,0.03704,0.05926,0.03704,0.03111,0.04444,0.06074,0.02519,0.07407,0.1393,0.07556,0.1170
0.01630,0.04741,0.03556,0.02370, 1.000,0.02370,0.02519,0.02815,0.06815,0.08444,0.01185,0.02222,0.05481,0.06370,0.02519,0.03852,0.05778,0.05037,0.04889
0.01926,0.02074,0.07852,0.04000,0.02370, 1.000,0.02667,0.04593,0.01037,0.02519,0.01630,0.007407,0.03407,0.03407,0.008889,0.03111,0.01481,0.05037,0.03407
0.05778,0.08889,0.01778,0.06222,0.02519,0.02667, 1.000,0.05926,0.05333,0.04148,0.02963,0.01778,0.06222,0.08444,0.03407,0.05778,0.05926,0.06519,0.09630
0.02222,0.05778,0.07111,0.06519,0.02815,0.04593,0.05926, 1.000,0.02222,0.04444,0.04741,0.01185,0.02074,0.08889,0.05630,0.07852,0.04593,0.04148,0.06519
0.04593,0.05778,0.03852,0.03704,0.06815,0.01037,0.05333,0.02222, 1.000,0.07852,0.06074,0.01037,0.03259,0.05778,0.03111,0.03407,0.05778,0.04148,0.03852
0.02667,0.05185,0.04593,0.05926,0.08444,0.02519,0.04148,0.04444,0.07852, 1.000,0.02963,0.03704,0.06370,0.03111,0.03556,0.04000,0.02963,0.04296,0.06667
0.04000,0.03556,0.04741,0.03704,0.01185,0.01630,0.02963,0.04741,0.06074,0.02963, 1.000,0.04444,0.04741,0.03704,0.02815,0.05481,0.02667,0.02074,0.04444
0.03259,0.04296,0.01185,0.03111,0.02222,0.007407,0.01778,0.01185,0.01037,0.03704,0.04444, 1.000,0.08444,0.05185,0.06963,0.03111,0.02667,0.02370,0.05926
0.05333,0.03556,0.03111,0.04444,0.05481,0.03407,0.06222,0.02074,0.03259,0.06370,0.04741,0.08444, 1.000,0.02370,0.02667,0.05481,0.04444,0.05481,0.06815
0.06963,0.06074,0.04148,0.06074,0.06370,0.03407,0.08444,0.08889,0.05778,0.03111,0.03704,0.05185,0.02370, 1.000,0.05333,0.04148,0.05926,0.02815,0.04593
0.03852,0.05926,0.03556,0.02519,0.02519,0.008889,0.03407,0.05630,0.03111,0.03556,0.02815,0.06963,0.02667,0.05333, 1.000,0.02222,0.04296,0.02370,0.02815
0.07407,0.08000,0.05333,0.07407,0.03852,0.03111,0.05778,0.07852,0.03407,0.04000,0.05481,0.03111,0.05481,0.04148,0.02222, 1.000,0.02222,0.04148,0.1141
0.07407,0.09037,0.05333,0.1393,0.05778,0.01481,0.05926,0.04593,0.05778,0.02963,0.02667,0.02667,0.04444,0.05926,0.04296,0.02222, 1.000,0.09333,0.07111
0.03407,0.04444,0.05333,0.07556,0.05037,0.05037,0.06519,0.04148,0.04148,0.04296,0.02074,0.02370,0.05481,0.02815,0.02370,0.04148,0.09333, 1.000,0.07111
0.03407,0.04000,0.08296,0.1170,0.04889,0.03407,0.09630,0.06519,0.03852,0.06667,0.04444,0.05926,0.06815,0.04593,0.02815,0.1141,0.07111,0.07111, 1.000
